exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,csb-b256,csb,500,0,1,9,2.597234,0.323716,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,2,9,0.933123,0.084889,36896224,1,consph,
cg_par,coo,coo,500,0,2,9,1.642402,0,48750512,1,consph,
cg_par,csr,csr,500,0,2,9,0.647902,0.00447,36896224,1,consph,
cg_par,dsr,dsr,500,0,2,9,0.672303,0.004659,37229560,1,consph,
cg_par,ell,ell,500,0,2,9,2.370633,0.068978,67000540,1,consph,
cg_par,csb-b64,csb,500,0,2,9,1.158685,0.229419,30620250,64,consph,
cg_par,csb-b128,csb,500,0,2,9,1.255867,0.279524,30536514,128,consph,
cg_par,csb-b256,csb,500,0,2,9,1.344852,0.323499,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,4,9,0.60176,0.087476,36896224,1,consph,
cg_par,coo,coo,500,0,4,9,0.861263,0,48750512,1,consph,
cg_par,csr,csr,500,0,4,9,0.341287,0.004474,36896224,1,consph,
cg_par,dsr,dsr,500,0,4,9,0.353779,0.004632,37229560,1,consph,
cg_par,ell,ell,500,0,4,9,1.224699,0.071023,67000540,1,consph,
cg_par,csb-b64,csb,500,0,4,9,0.80613,0.227871,30620250,64,consph,
cg_par,csb-b128,csb,500,0,4,9,0.86559,0.278246,30536514,128,consph,
cg_par,csb-b256,csb,500,0,4,9,0.907792,0.323843,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,8,9,0.454953,0.084504,36896224,1,consph,
cg_par,coo,coo,500,0,8,9,0.499509,0,48750512,1,consph,
cg_par,csr,csr,500,0,8,9,0.206016,0.004474,36896224,1,consph,
cg_par,dsr,dsr,500,0,8,9,0.213397,0.004588,37229560,1,consph,
cg_par,ell,ell,500,0,8,9,0.726184,0.067965,67000540,1,consph,
cg_par,csb-b64,csb,500,0,8,9,0.493786,0.230245,30620250,64,consph,
cg_par,csb-b128,csb,500,0,8,9,0.552092,0.27908,30536514,128,consph,
cg_par,csb-b256,csb,500,0,8,9,0.618529,0.325333,30500118,256,consph,
cg_par,eigen,eigen,500,-0.017497,16,9,0.369854,0.084476,36896224,1,consph,
cg_par,coo,coo,500,0,16,9,0.287449,0,48750512,1,consph,
cg_par,csr,csr,500,0,16,9,0.117072,0.00448,36896224,1,consph,
cg_par,dsr,dsr,500,0,16,9,0.124504,0.004599,37229560,1,consph,
